ABX3,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,exp_label
LiAsO3,Li,As,O,1,5,-2,0.92,0.46,1.4,0.88,4.93,-1
LiBeCl3,Li,Be,Cl,1,2,-1,0.92,0.45,1.81,0.85,5.88,-1
LiBiO3,Li,Bi,O,1,5,-2,0.92,0.76,1.4,0.76,7.18,-1
LiCoBr3,Li,Co,Br,1,2,-1,0.92,0.74,1.96,0.75,7.48,-1
LiMgBr3,Li,Mg,Br,1,2,-1,0.92,0.72,1.96,0.76,6.94,-1
LiMgCl3,Li,Mg,Cl,1,2,-1,0.92,0.72,1.81,0.76,6.73,-1
LiMgF3,Li,Mg,F,1,2,-1,0.92,0.72,1.33,0.78,6.06,-1
LiMgI3,Li,Mg,I,1,2,-1,0.92,0.72,2.2,0.76,7.27,-1
LiNbO3,Li,Nb,O,1,5,-2,0.92,0.64,1.4,0.8,5.15,-1
LiNiCl3,Li,Ni,Cl,1,2,-1,0.92,0.69,1.81,0.77,6.26,-1
