wavenumber [cm^-1],absorbance
1835.00101,0.002
1839.688512,0.002
1844.376014,0.002
1849.063516,0.001
1853.751017,0.001
1858.438519,0.001
1863.126021,0.002
1867.813523,0.003
1872.501024,0.003
1877.188526,0.003
1881.876028,0.004
1886.563529,0.005
1891.251031,0.005
1895.938533,0.007
1900.626035,0.007
1905.313536,0.008
1910.001038,0.01
1914.68854,0.011
1919.376042,0.012
1924.063543,0.013
1928.751045,0.013
1933.438547,0.013
1938.126049,0.012
1942.81355,0.011
1947.501052,0.009
1952.188554,0.008
1956.876056,0.006
1961.563557,0.005
1966.251059,0.004
1970.938561,0.003
1975.626063,0.003
1980.313564,0.002
1985.001066,0.001
1989.688568,0
1994.37607,0
1999.063571,0
2003.751073,0
2008.438575,0
2013.126077,0
2017.813578,0
2022.50108,0
2027.188582,0
2031.876083,0
2036.563585,0
2041.251087,0
2045.938589,-0.001
2050.62609,0
2055.313592,0
2060.001094,0
2064.688596,0
2069.376097,0
2074.063599,0
2078.751101,0.001
2083.438603,0.001
2088.126104,0.002
2092.813606,0.003
2097.501108,0.003
2102.18861,0.004
2106.876111,0.005
2111.563613,0.005
2116.251115,0.005
2120.938617,0.007
2125.626118,0.007
2130.31362,0.007
2135.001122,0.007
2139.688624,0.006
2144.376125,0.005
2149.063627,0.004
2153.751129,0.003
2158.438631,0.003
2163.126132,0.003
2167.813634,0.003
2172.501136,0.003
2177.188637,0.003
2181.876139,0.003
2186.563641,0.003
2191.251143,0.003
2195.938644,0.002
2200.626146,0.002
2205.313648,0.001
2210.00115,0
2214.688651,0
2219.376153,0
2224.063655,0
2228.751157,0
2233.438658,0
2238.12616,0.001
2242.813662,0.001
2247.501164,0.001
2252.188665,0.002
2256.876167,0.003
2261.563669,0.004
2266.251171,0.004
2270.938672,0.005
2275.626174,0.005
2280.313676,0.004
2285.001178,0.003
2289.688679,0.003
2294.376181,0.002
2299.063683,0.001
2303.751185,0
2308.438686,0
2313.126188,0
2317.81369,0
2322.501191,0
2327.188693,0
2331.876195,0
2336.563697,0.001
2341.251198,0.002
2345.9387,0.003
2350.626202,0.002
2355.313704,0
2360.001205,0
2364.688707,0
2369.376209,0
2374.063711,0
2378.751212,0
2383.438714,0.001
2388.126216,0.001
2392.813718,0.001
2397.501219,0.001
2402.188721,0.001
2406.876223,0.002
2411.563725,0.003
2416.251226,0.003
2420.938728,0.003
2425.62623,0.003
2430.313732,0.003
2435.001233,0.003
2439.688735,0.003
2444.376237,0.002
2449.063739,0.002
2453.75124,0.002
2458.438742,0.001
2463.126244,0.001
2467.813745,0.001
2472.501247,0.001
2477.188749,0.001
2481.876251,0.001
2486.563752,0.001
2491.251254,0.001
2495.938756,0
2500.626258,0
2505.313759,0
2510.001261,0
2514.688763,0
2519.376265,0
2524.063766,0
2528.751268,0
2533.43877,0
2538.126272,0
2542.813773,0
2547.501275,0
2552.188777,0
2556.876279,0
2561.56378,0
2566.251282,0
2570.938784,0
2575.626286,0
2580.313787,0
2585.001289,0
2589.688791,0.001
2594.376293,0.001
2599.063794,0.001
